Русское слово,Ительменское слово
лыжня,leŋazonoŋ сущ; tewenŏm сущ
лыко ивы,lk'et сущ
лыко кипрейное,kumɬxil сущ
лысеть,im- неп
лысина,k'emsx сущ
лысый,ačxq'alaχ прил
льдина,kaɬčfsəm сущ; ketwol сущ; ketwoɬčaχ сущ
льдом покрываться,kətwolte- неп
льдом покрыться,kaɬčfsate- неп
любитель женщин,č'owaq сущ
любить,lft- неп; lft- п1; lftala- п1; lftalat- п1
любоваться красотой,činəŋʔe- неп
любовник,klelx сущ; χelulan сущ
любовью заниматься,klelxčeʔɬ- неп
люлька подвесная детская,zipke сущ
лягаться,qepɬko- п1; qepɬk'oɬ- неп
лямка типа хомута,sasq сущ
магазин,ensxeʔɬnom сущ
мазать,anzazo- п1
мазь,anzas сущ; anzaʔnoŋ сущ
макушка,ktxeɬxən сущ
малёк,mawačχ сущ
маленькая вошь,fač'ik сущ
маленькая рыбья голова,ʎiʎuk'ečχ сущ
маленькая тундровая птичка,uɲɲačχ сущ
маленький,uʎu- А; uʎuʎaχ прил; učkuɲʎaχ прил
маленький вулкан,paakčix Ю. сущ
маленький гусь,qeʔris сущ
маленький домик,kistečχ сущ
маленький кулик,čiriričx сущ
маленький мышонок,č'itek'ečχ сущ
маленький язычок в горле,ermečχ сущ
малина,malina сущ; ečxeɬqwezem сущ
мало,uʎuq нареч
мало дающий,k'aŋansa прил
малыш,miʎačχ сущ
мальма,wəɬč сущ
мальчик,pamxččaχ сущ с.; p'eč сущ; χoʎačχ сущ
мама,mama сущ
манить,ənč'elazo- п1
марка,marka сущ
масло,maslaʔ сущ
мастер,nmitqen сущ
мастерить,sk- п1
материк,saləŋk сущ
материя,činəp сущ
матица (поперечные бревна на потолке),matɲit͡saʔ сущ
матка,p'asx сущ
мать,laχsχ сущ
махать руками,awelaʔɬ- неп
махать рукой,awela- п1
мачеха,laχsχeʔsx сущ
мачта,mačtaʔ сущ
медведица,matuxa сущ
медведь,weqaʔntɬ сущ; jaŋsalan сущ; massu сущ; met'sk'aj сущ
медведь трех лет,č'ota сущ
медведь-бродяга,pilwelan сущ
медвежатина,massut'il сущ; met'sk'et'il сущ
медвежий,massuʔin прил; met'sk'eʔin прил
медвежий жир,kač'x сущ
медвежий корень,χequm сущ; čqawom сущ
медвежонок,met'ečχ сущ
медвежья лапа,manzəŋ сущ
медленно,telwečq нареч
медленный,telwelaχ прил
медлительный,qumislaχ прил
медлительный человек,eɬewjuq сущ
медлить,qizu- неп; telwese- неп
медовый корень,skwom сущ
между,kӑnnenk нареч
мездра,eɬf сущ
мел,mel сущ
мелеть,k'isxɬ- неп; k'isxɬni- неп
мелкая мошкара,čemejke сущ
прилетающая самой первой,kresečχ сущ
мелкая пташка,uɲɲačχ сущ
мелкие паразиты,katxzeʔn сущ
мелкие рачки-паразиты,fačχ сущ
мелкий,apɬk'alaχ прил; k'izwilaχ прил
мелкий (о водоеме),k'əzəlaχ прил
мелкий голец с иглами,sistxil сущ
мелкий картофель,čxrojk'ačχ сущ
мелкий мох,pek'ɬxum сущ
мелкий полосатый голец,ket'il сущ
мелочь,kwesχqaʔn сущ
мелочью разжиться,č'zeŋala- неп
мель,k'izwizweč сущ
мелькать,taɬqew- неп
менструировать,t'salepes- неп
меня,kma мест с.; kəmma мест
менять,meɲa- п1
меняться,letet- неп; meɲaʔɬ- неп
мера,meraʔ сущ
мережа,qilqilwin сущ
мерзавец,ɬapxač'eraŋ сущ
мёрзнуть,qitit- неп
мерить,mera- п1
меркнуть,emelwezak'ɬ- неп
мертвец,k'ezzatt'klač сущ
мёртвый,k'isxknen прил
мерцать,aʔnfsat- неп
месить муку,tχel- п1
мести,fjalte- неп
мести снегом,wjal- неп; fjal- неп
местный,tanʔin прил
место,inxt сущ; mestaʔ сущ; onmestnom сущ
место в тундре,tolk'aʔɬnom сущ
место высокое,asʔas сущ
место кочевки,jalwatnom сущ
место куда надевают пояс,setzanom сущ
место летних работ,laʔmstnom сущ
место на тундре,filk'filk' сущ
место под лежанкой,oʔresta сущ
место работы,wetatnom сущ
место разделки рыбы,axtnom сущ
место рождения,ənsχtnom сущ
место с хорошим обзором,twestewnom сущ
место у двери,nutɬun сущ
место удара,əɲčqanəm сущ
"место, где живут",soɲɬnom сущ
берегу,onmestnom сущ
"обрыва, сопки",nasnom сущ
"место, где собираются",quɲeŋestnom сущ
"место, земля за водой",saləŋk сущ
месть,net'ɬes сущ
месяц,kuleč сущ; mesit͡s сущ
метать икру,awna- неп
"метать икру, нереститься",rosx- неп
метель,fjal сущ
метка,kəlwanŏm сущ
метки,kəlwa- п1
метла,malenəŋ сущ
мех для вина,kupx сущ
мех кузнечный,iisluʔɬneŋ сущ
мех молодого оленя,qejuɬx сущ
"меховый шарик, пришиваемый к женскому капору",pak'aɬačχ сущ
меч,əmpχeɬχ сущ
мечтать,ʷk'enezi- неп
мешалка,setk' сущ
мешать,inmici- неп; inmici- п1; inmisin- неп; əntewli- п1; ənč'elazo- п1
мешкать долго,tewu- неп
мешок,mask'el сущ; mesok сущ; ratos сущ
мигать,əɬčkowa- неп
мизинец,saɬkiɬk'ačχ сущ
микижа,məlʔarak сущ
микижная река ,Mikiʐnaya rеka собств
милосердие,melmel сущ
милосердный,kmelmelʔan прил
милость,melmel сущ; əlftalatnom сущ
милый,xixliŋlaχ прил
мимо,ksota нареч
мимо проходить,peskŏs- неп
мимоходом,wəppesk'əsk'i нареч
минога,qanas сущ
мир,atxʔatx сущ; mslelŋən сущ;
мираж,atərwate- неп
мирный,tkarwelʔan прил
миро,miroʔ сущ
миска,qamaŋa сущ; miskeʔ сущ
миска для жира,χamɬχjoɬxen сущ
мисочка,kamečχ сущ
мифическое существо,nonk'awač сущ
младенец,miʎačχ сущ
младший,salʔan прил
"младший (брат, сестра)",imtx сущ
много,"iwniɬ нареч; mejim, mejeŋ нареч; niwniɬ нареч с.; niniɬ нареч; ptos нареч; əmkem нареч; əmptowa нареч; esqčaq нареч; esčaq нареч"
многое,niniɬʔan прил
множество,amelwelwen сущ
могила,ʷqeʔmsatunom сущ
могучий,q'ewlaχ прил
может быть,qeʔnu нареч; lus межд; fisx межд; ettun межд
мозг,aʔjuwʔaj сущ
мозоль,sxolnom сущ
мозоль (водяная),iʔepel сущ
мозоль набить,sxul- неп
мой,kəmman мест
мойва,ujki сущ с.; ujkeʔn сущ
мокнуть,txa- неп; txaʔne- неп; čk'ečk'ete- неп; čk'eʔɬ- неп
мокро!,učučux межд
мокроту отхаркивать,asato- неп
мокрый,čqlaχ прил
мокрым становиться,čk'eʔɬ- неп
молитва,taqas сущ
молиться,ʷtaqa- неп; taqaʔɬ- неп; ʷtaqaʔɬ- неп
молния,eč'em сущ
молодой человек,χoʎa сущ
молоки рыбьи,lqilqeʔn сущ
молоко,luk'əl сущ; luqən сущ
молчаливый,iseŋlaχ прил; k'iɬč'in прил
молчать,iɬč- неп
морда,uʔilwiŋ сущ; fewaŋ сущ; č'ruč' сущ
море,qiχ сущ
морозить,tsa- неп
моросить,busiʔɬ- неп; čk'eʔɬ- неп; čfkraʔɬ- неп
Морошечное,Аnʔawa собств
морошка,znəʔn сущ с.; sneʔn сущ
морошка и рыба,filk'intora сущ
морская гагара,uwiq сущ
морская зыбь,walaʔn сущ
морская коса,erwen сущ
морская ракушка,qajʔačχ сущ; qerwitinəŋ сущ
морская утка,aʔŋečχ сущ
морская чайка,fijaqjaq сущ
морские котики,tatʎač сущ
морской,qiχʔin прил
морской берег,erwenetnom сущ
морской конек,wat'sχ сущ
морщина,k'fsnom сущ
морщить,ənk'fsi- п1
морщиться,k'fs- неп
мотылек,wewweŋ сущ
мох,ləmləm сущ; xatpal сущ
мох мелкий,pek'ɬxum сущ
мохнатый,moqre прил; tomlaχ прил
моховая подкладка,pet сущ
моча,tχistχis сущ
мочевой пузырь,ksolx сущ
мочить,əntxaɬ- п1; əntxaʔneŋe- п1
мочиться,tχiz- неп
мочиться пойти,tχezata- неп
мошка,ikəmčχ сущ
мрак,txuntxun сущ
мстить,nit'ɬə- неп
мудрец,xamomʔalwaŋ сущ; eʔŋuŋelan сущ
мудрость,eʔŋuŋ сущ
муж,qamzan сущ
мужской,iχɬχʔin прил
мужской член,qəlq сущ
мужчина,iχɬχ сущ
мужчина пожилой,kχeqateknen сущ
мука,čeqsxes сущ
мука рыбная,porʂaʔ сущ
муравей,č'ozaq сущ
мускул моллюсков,pekeʔɲč сущ
мусор,salsχq сущ
мусорить,saltni- неп; saɬtŋe- неп
мутить,nəŋč'ŋo- п1
мутный,əɲč'ŋulaχ прил
муха,klamɬ сущ
муха большая,kumisx сущ
мухомор,wapq сущ; qəpqəp сущ
мухомора настойка,čirim сущ
мучаться,pərwet'e- неп
мучить,d'ekowa- п1; ənperwet'i- п1; ənčeqsxneŋ- п1; ənčeqsxeŋ- п1
мучиться,čxčawaʔɬ- неп; čeqsxe- неп
мучиться от изжоги,anekst'aʔɬ- неп
мушиный плевок,kafk сущ
мчаться,χisi- неп
мы,muzaʔn мест
мыло,mɨlaʔ сущ
мыльный пузырь,ksolx сущ
мыс,keʎxen сущ
мысль,ʷk'enezes сущ
мыть,inləməɬ- неп; lim- п1; ləm- п1; ʷt'ɬa- п1
мыть долго,ʷt'ɬazo- п1
мыться,ləməʔɬ- неп; ʷt'ɬa- неп; ʷt'ɬazot- неп
мыться долго,ʷt'ɬazo- неп
мычать,bewe- неп
мышеловка,kaʔməɬxap сущ; ɬxapɬxap сущ
мышиная постель,ŋakok сущ
мышиная постелька,ŋakokačχ сущ
мышиный амбар,ktχamta сущ
мышиный амбарчик,atnoč сущ; kawirwiŋ сущ
мышонок,č'itek'ečχ сущ
мышь,leɬk'oč сущ; ʎeɬk'aj сущ; ʎeɬk'oč сущ
мышь короткохвостая,ikəmčxen сущ
мягкий,filk'laχ прил; əltlaχ прил; əʎtlaχ прил с.; ətlaχ прил
мягкое темечко (у маленьких детей),fiɬk'ečχ сущ
мягче делаться,əltse- неп
мякоть стебля кипрея,xuɬk'um сущ
мясо,tχaltχal сущ
ноги оленя,iɬχpete сущ
мясо вяленое,patol сущ
мясо кислое,filwil сущ
мясо рыбы,tχisum сущ
мять,toza- п1
мяч,pek'uč сущ
мяч играть,qaplu- неп
