слово,диалект,фонетический вариант,северный диалектный вариант,часть речи,грамматические пометы,инфинитив,множественное число,общее число,толкование,ссылка,,,,,,
кʼнытаʔин,,,,существительное,,,кʼнытаʔиʔн,,умный,,,,,,,
кʼнәнтх,,,,местоимение,,,,,кто (многие),,,,,,,
кʼнәч,,,,существительное,,,,,кол (передний) запора,,,,,,,
кʼӈэзэʔин,,,,прилагательное,,,,,звёздный,,,,,,,
кʼӈэйукнэн,,,,прилагательное,,,,,сытый,мёлах,,,,,,
кʼоза,,,,существительное,,,кʼозаʔн,,"задний проход (анат.), прямая кишка",,,,,,,
кʼозэсхно-,,кʼузэсхэн-,,глагол,непереходный,кʼозэсхнокас,,,щипаться многократно,,,,,,,
кʼол-,,,,глагол,непереходный,кʼолкас,,,"ломаться, разбиваться, разрушаться",кʼолном,кʼолсхэн-,кʼолэт-,әнкʼол-,,,
кʼолном,,,,существительное,,,,,разрушение,,,,,,,
кʼоԓ-,,,,глагол,непереходный,кʼоԓкас,,,"идти (к говорящему); приходить, приезжать, прибывать",кʼоԓәт-,ԓинкʼоԓ-,,,,,
кʼонокʼон,,,,существительное,,,кʼоноʔн,,загнутый крючком нос у кипчуча или другой рыбы,,,,,,,
кʼубираʔан,,,,существительное,,,кʼубираʔаʔн,,уборщица,,,,,,,
кʼузи-,,,кәммат- ,глагол,переходный1,кʼозэс,,,щипать кого-л. ,,,,,,,
кʼузисхин-,,,,глагол,переходный1,кʼозэсхэнэс,,,щипать кого-л. (многократно),,,,,,,
кʼузэсх,,,,существительное,,,кʼузэсхэʔн,,щепотка,,,,,,,
кʼулу-,,,,глагол,переходный1,,кʼулус,,"снимать, сдирать луб или кору березы для употребления в пищу",,,,,,,
кʼулэ-,,,,глагол,переходный1,,кʼулэс,,царапать,кʼулэʔԓ-,кʼулэсхэн-,,,,,
кʼулэсхэн-,,,,глагол,непереходный,кʼулэсхэнкас,,,"исцарапаться сильно, во многих местах",,,,,,,
кʼулэʔԓ-,,,,глагол,непереходный,кʼулэʔԓкас,,,царапаться,,,,,,,
кʼуп-,,,,глагол,непереходный,кʼопкас,,,"задушиться (гл. образом зверь в ловушке), повеситься",әнкʼупӈ-,,,,,,
кʼуфкʼуф,,,,существительное,,,"кʼфиʔн, кʼфуʔн",,1) коготь; 2) ноготь,,,,,,,
кʼухкʼ,,,,существительное,,,кʼухкʼэʔн,,"березовая мягкая кора, шедшая в пищу",,,,,,,
кʼуӽӄ,,,,существительное,,,,,луб берёзы,,,,,,,
кʼфс-,,,,глагол,непереходный,кʼфскас,,,"морщиться, съёживаться, уменьшаться в объёмах",кʼфсном,әнкʼфси-,,,,,
кʼфсном,,,,существительное,,,кʼфсноʔн,,морщина,,,,,,,
кʼәзвэлаӽ,,,,прилагательное,,,,,"сухой, мелкий",,,,,,,
кʼәзәлаӽ,,,,прилагательное,,,,,мелкий (о водоёме),,,,,,,
кʼәмчэл,,,,существительное,,,кʼәмчэʔл,,"юкола, поеденная червем",,,,,,,
кʼэ,,,,местоимение,,,,,кто (один),,,,,,,
˚кʼэ-,,,,глагол,непереходный,˚кʼэкас,,,привыкать,,,,,,,
кʼэвўнкʼэвўн,,,,существительное,,,кʼэвуʔн,,хрящ,,,,,,,
кʼэвәрх,,,,существительное,,,кʼэвәрхэʔн,,"помощник, подмастерье",,,,,,,
кʼэззаттʼклач,,,,существительное,,,кʼэззаттʼклаʔн,,"покойник, мертвец",,,,,,,
кʼэзу-,,,,глагол,переходный1,кʼэзус,,,"тянуть, тащить (нарту - о собаках, оленях, к человеку не применимо)",,,,,,,
кʼэзу-,,,,глагол,непереходный,кʼэзукас,,,"тянуть, тащить  ",,,,,,,
кʼэквиʔԓ-,,,,глагол,непереходный,кʼэквиʔԓкэс,,,воровать (о животных),,,,,,,
кʼэкʼвэчӽ,,,,существительное,,,кʼэкʼвэʔњч,,"коготок, ноготок",,,,,,,
кʼэкʼйоԓхән,,,,существительное,,,,,"центральная часть капюшона, прикрывающая темя и затылок головы",,,,,,,
кʼэкʼэлэчӽ,,,,существительное,,,кʼэкʼэлэʔњч,,"ручка, ручонка (у маленького ребенка)",,,,,,,
кʼэланŏм,,,,существительное,,,кʼэланоʔн,,колесо,,,,,,,
˚кʼэлаӽ,,кʼэлаӽ,,прилагательное,,,,,"устойчивый, невалкий",,,,,,,
кʼэлфԓэӈ,,кʼэлфԓәӈ,,существительное,,,кʼэлфԓэʔн,,губа,,,,,,,
кʼэԓвэрчоʔан,,,,прилагательное,,,,,блестящий,,,,,,,
кʼэмматзо-,,,,глагол,переходный2,кʼэмматзокас,,,дергать кого-л. за волосы многократно,,,,,,,
кʼэмсх,,,,существительное,,,кʼэмсхаʔн,,"лысина, плешь",,,,,,,
кʼэн,,кʼэʔн,,местоимение,,,,,чей,,,,,,,
˚кʼэнэзи-,,,кʼэнэзи-,глагол,непереходный,˚кʼэнэзэкас,,,"1) думать, подумать; 2) мечтать",,,,,,,
˚кʼэнэзи-,,,кʼэнэзи-,глагол,переходный1,˚кʼэнэзэс,,,"выдумывать, придумывать",,,,,,,
кʼэнэзэном,,,,существительное,,,,,притча,,,,,,,
˚кʼэнэзэс,,кʼэнэзэс,,существительное,,,˚кʼэнэзэзэʔн,,"мысль, идея, дух",,,,,,,
кʼэсхкʼэсх,,,,существительное,,,кʼэсхэʔн,,"засуха, сухое место",,,,,,,
кʼэтсакнан,,,,прилагательное,,,,,худой,,,,,,,
кʼэчил,,,,,,,,,,ӄэчʼэԓ,,,,,,
кʼээчӽ,,,,местоимение,,,,,кто-то,,,,,,,
кʼэʔ-,,,,глагол,непереходный,кʼэʔкас,,,привыкать,,,,,,,
кʼэʔн,,,,местоимение,,,,,чьи,,,,,,,
ӄаак,,,,,,,,,,ӄаʔаӄ,,,,,,
ӄаач,,,,,,,,,,ӄавач,,,,,,
ӄавач,,,,существительное,,,ӄаваʔн,,корюшка,,,,,,,
ӄазала-,,,,глагол,переходный1,ӄазалас,,,передразнивать кого-л. ,,,,,,,
ӄазалаʔԓ-,,,,глагол,непереходный,ӄазалаʔԓкас,,,"передразнивать, повторять, откликаться (эхо)",,,,,,,
ӄазвал,,,,существительное,,,-,,заросли крапивы,,,,,,,
ӄазвум,,,,существительное,,,ӄазваʔн,,крапива,,,,,,,
ӄайпсаноӈ,,,,существительное,,,ӄайпсанэʔн,,"подтирка (первоначально из мха, травы и т.п.)",,,,,,,
ӄайткэл,,,,существительное,,,,,копьё,,,,,,,
ӄайʔачӽ,,,,существительное,,,ӄайʔаʔњч,,морская ракушка (плоская),,,,,,,
ӄаӄаӄрэ,,,,существительное,,,ӄаӄаӄрэʔн,,гагара,,,,,,,
ӄаӄарил,,,,существительное,,,ӄаӄарилаʔн,,"чёрт, злой дух",,,,,,,
˚ӄаӄф,,ӄаӄор,,существительное,,,˚ӄаӄфэʔн,,незрелая ягода,,,,,,,
ӄаӄәӈ,,ӄэкәӈ,,существительное,,,ӄаӄэʔн,,нос (человека и животного) ,,,,,,,
ӄаԓӽтәӈ,,,,существительное,,,ӄаԓӽтэʔн,,пятка,,,,,,,
ӄамаӈа,,,,существительное,,,ӄамаʔн,,"миска, крупная посуда",,,,,,,
ӄамзан,,,,существительное,,,ӄамзанаʔн,,муж,,,,,,,
ӄамзантэ-,,,,глагол,непереходный,ӄамзантэкас,,,выходить замуж,ӄамзантэт-,ԓинӄамзант-,,,,,
ӄамзаʔњԓ-,,,,глагол,непереходный,ӄамзаʔњԓкас,,,"задаваться, воображать",,,,,,,
ӄамст-,,,,глагол,непереходный,ӄамсткас,,,"раскидываться, разбрасываться, растягиваться",,,,,,,
ӄамчʼал,,,,существительное,,,,,"сердцевина юколы, которую объели черви",,,,,,,
ӄанас,,,,существительное,,,ӄаназэʔн,,"рыба, похожая на змею",,,,,,,
ӄанԓ-,,,,глагол,непереходный,ӄанԓкас,,,кряхтеть,,,,,,,
ӄанӽс,,,,существительное,,,,,кряква,,,,,,,
ӄањчсӽ,,,,существительное,,,ӄањчсӽаʔн,,скребок для выделки шкур,,,,,,,
Ӄањчсӽ,,,,существительное,,,-,,созвездие Большой Медведицы,,,,,,,
ӄаӈԓә-,,,,глагол,переходный1,ӄаӈԓәс,,,брать что-л. взаймы,ӄаӈԓат-,,,,,,
ӄаӈрат-,,,,глагол,непереходный,ӄаӈраткас,,,засыхать,,,,,,,
ӄаплу-,,,,глагол,непереходный,ӄаплукас,,,играть в мяч (ногами) ,,,,,,,
ӄаплунэм,,,,существительное,,,ӄаплуʔн,,название игры «погнать мяч»,,,,,,,
ӄатолаӽ,,,,существительное,,,ӄатолаӽаʔн,,"специальная доска или жердь, предназначенная для изготовления лыж, нартовых полозьев и т. п.",,,,,,,
ӄатʼанаʔан,,,,,,,,,,ӄаʔтʼанан,,,,,,
ӄаӽӄаӽ,,,,существительное,,,,,топорище,,,,,,,
ӄаʔаӄ,,ӄаʔваӄ,,существительное,,,ӄаʔаӄаʔн,,"самка рыбы, икрянка",,,,,,,
ӄаʔм,,,,частица,,,,,"1) не, нет (отрицание); 2) без ",,,,,,,
ӄаʔм-,,,,глагол,непереходный,ӄаʔмкас,,,"обижаться, оскорбляться",ӄаʔмст-,,,,,,
ӄаʔмст-,,,,глагол,непереходный,ӄаʔмсткас,,,огорчаться,әнӄаʔм-,,,,,,
ӄаʔнантаʔнŏӈ,,ӄаʔӈунтаноӈ,,существительное,,,ӄаʔнантаʔнэʔн,,"1) деревянный крючок для извлечения нерпичьего жира; 2) скупердяй, жадный человек",,,,,,,
