Ительменское слово,Русское слово
č'itek'ečχ сущ,маленький мышонок
ermečχ сущ,маленький язычок в горле
malina сущ,малина
ečxeɬqwezem сущ,малина
uʎuq нареч,мало
k'aŋansa прил,мало дающий
miʎačχ сущ,малыш
wəɬč сущ,мальма
pamxččaχ сущ с. ,мальчик
p'eč сущ,мальчик
χoʎačχ сущ,мальчик
mama сущ,мама
ənč'elazo- п1,манить
marka сущ,марка
maslaʔ сущ,масло
nmitqen сущ,мастер
sk- п1,мастерить
saləŋk сущ,материк
činəp сущ,материя
matɲit͡saʔ сущ,потолке)
p'asx сущ,матка
laχsχ сущ,мать
awelaʔɬ- неп,махать руками
awela- п1,махать рукой
laχsχeʔsx сущ,мачеха
mačtaʔ сущ,мачта
matuxa сущ,медведица
"weqaʔntɬ , nap., сущ",медведь
jaŋsalan сущ,сед.;
massu сущ,сед.;
met'sk'aj сущ,сед.;
č'ota сущ,медведь трех лет
pilwelan сущ,медведь-бродяга
massut'il сущ,медвежатина
met'sk'et'il сущ,медвежатина
massuʔin прил,медвежий
met'sk'eʔin прил,медвежий
kač'x сущ,медвежий жир
χequm сущ,медвежий корень
čqawom сущ,медвежий корень
met'ečχ сущ,медвежонок
manzəŋ сущ,медвежья лапа
telwečq нареч,медленно
telwelaχ прил,медленный
qumislaχ прил,медлительный
eɬewjuq сущ,медлительный человек
qizu- неп,медлить
telwese- неп,медлить
skwom сущ,медовый корень
kӑnnenk нареч,между
eɬf сущ,мездра
mel сущ,мел
k'isxɬ- неп,мелеть
k'isxɬni- неп,мелеть
čemejke сущ,мелкая мошкара
kresečχ сущ,прилетающая самой первой
uɲɲačχ сущ,мелкая пташка
katxzeʔn сущ,мелкие паразиты
fačχ сущ,мелкие рачки-паразиты
apɬk'alaχ прил,мелкий
k'izwilaχ прил,мелкий
k'əzəlaχ прил,мелкий (о водоеме)
sistxil сущ,мелкий голец с иглами
čxrojk'ačχ сущ,мелкий картофель
pek'ɬxum сущ,мелкий мох
ket'il сущ,мелкий полосатый голец
kwesχqaʔn сущ,мелочь
č'zeŋala- неп,мелочью разжиться
k'izwizweč сущ,мель
taɬqew- неп,мелькать
t'salepes- неп,менструировать
kma мест с. ,меня
kəmma мест,меня
meɲa- п1,менять
letet- неп,меняться
meɲaʔɬ- неп,меняться
meraʔ сущ,мера
qilqilwin сущ,мережа
ɬapxač'eraŋ сущ,мерзавец
qitit- неп,мёрзнуть
mera- п1,мерить
emelwezak'ɬ- неп,меркнуть
k'ezzatt'klač сущ,мертвец
k'isxknen прил,мёртвый
aʔnfsat- неп,мерцать
tχel- п1,месить муку
fjalte- неп,мести
wjal- неп,мести снегом
fjal- неп,мести снегом
tanʔin прил,местный
inxt сущ,место
mestaʔ сущ,место
onmestnom сущ,место
tolk'aʔɬnom сущ,место в тундре
asʔas сущ,место высокое
jalwatnom сущ,место кочевки
setzanom сущ,место куда надевают пояс
laʔmstnom сущ,место летних работ
filk'filk' сущ,место на тундре
oʔresta сущ,место под лежанкой
wetatnom сущ,место работы
axtnom сущ,место разделки рыбы
ənsχtnom сущ,место рождения
twestewnom сущ,место с хорошим обзором
nutɬun сущ,место у двери
əɲčqanəm сущ,место удара
soɲɬnom сущ,"место, где живут"
onmestnom сущ,берегу
nasnom сущ,"обрыва, сопки"
quɲeŋestnom сущ,"место, где собираются"
saləŋk сущ,"место, земля за водой"
net'ɬes сущ,месть
kuleč сущ,месяц
mesit͡s сущ,месяц
awna- неп,метать икру
rosx- неп,"метать икру, нереститься"
fjal сущ,метель
kəlwanŏm сущ,метка
kəlwa- п1,метки
malenəŋ сущ,метла
kupx сущ,мех для вина
iisluʔɬneŋ сущ,мех кузнечный
qejuɬx сущ,мех молодого оленя
pak'aɬačχ сущ,к женскому капору
əmpχeɬχ сущ,меч
ʷk'enezi- неп,мечтать
setk' сущ,мешалка
inmici- неп,мешать
inmici- п1,мешать
inmisin- неп,мешать
əntewli- п1,мешать
ənč'elazo- п1,мешать
tewu- неп,мешкать долго
mask'el сущ,мешок
mesok сущ,мешок
ratos сущ,мешок
əɬčkowa- неп,мигать
saɬkiɬk'ačχ сущ,мизинец
məlʔarak сущ,микижа
rеka собств,микижная река Микижная
melmel сущ,милосердие
kmelmelʔan прил,милосердный
melmel сущ,милость
əlftalatnom сущ,милость
xixliŋlaχ прил,милый
ksota нареч,мимо
peskŏs- неп,мимо проходить
wəppesk'əsk'i нареч,мимоходом
qanas сущ,минога
atxʔatx сущ,мир
mslelŋən сущ,мир
atərwate- неп,мираж
tkarwelʔan прил,мирный
miroʔ сущ,миро
qamaŋa сущ,миска
miskeʔ сущ,миска
χamɬχjoɬxen сущ,миска для жира
kamečχ сущ,мисочка
nonk'awač сущ,мифическое существо
miʎačχ сущ,младенец
salʔan прил,младший
imtx сущ,"младший (брат, сестра)"
iwniɬ нареч,много
"mejim, mejeŋ нареч",много
niwniɬ нареч с. ,много
niniɬ нареч,много
ptos нареч,много
əmkem нареч,много
əmptowa нареч,много
esqčaq нареч,много
esčaq нареч,много
niniɬʔan прил,многое
amelwelwen сущ,множество
ʷqeʔmsatunom сущ,могила
q'ewlaχ прил,могучий
qeʔnu нареч,может быть
lus межд,может быть
fisx межд,может быть
ettun межд,может быть
aʔjuwʔaj сущ,мозг
sxolnom сущ,мозоль
iʔepel сущ,мозоль (водяная)
sxul- неп,мозоль набить
kəmman мест,мой
ujki сущ с. ,мойва
ujkeʔn сущ,мойва
txa- неп,мокнуть
txaʔne- неп,мокнуть
čk'ečk'ete- неп,мокнуть
čk'eʔɬ- неп,мокнуть
učučux межд,мокро!
asato- неп,мокроту отхаркивать
čqlaχ прил,мокрый
čk'eʔɬ- неп,мокрым становиться
taqas сущ,молитва
ʷtaqa- неп,молиться
taqaʔɬ- неп,молиться
ʷtaqaʔɬ- неп,молиться
eč'em сущ,молния
χoʎa сущ,молодой человек
lqilqeʔn сущ,молоки рыбьи
luk'əl сущ,молоко
luqən сущ,молоко
iseŋlaχ прил,молчаливый
k'iɬč'in прил,молчаливый
iɬč- неп,молчать
uʔilwiŋ сущ,морда
fewaŋ сущ,морда
č'ruč' сущ,морда
qiχ сущ,море
tsa- неп,морозить
busiʔɬ- неп,моросить
čk'eʔɬ- неп,моросить
čfkraʔɬ- неп,моросить
Аnʔawa собств,Морошечное
znəʔn сущ с. ,морошка
sneʔn сущ,морошка
filk'intora сущ,морошка и рыба
uwiq сущ,морская гагара
walaʔn сущ,морская зыбь
erwen сущ,морская коса
qajʔačχ сущ,морская ракушка
qerwitinəŋ сущ,морская ракушка
aʔŋečχ сущ,морская утка
fijaqjaq сущ,морская чайка
tatʎač сущ,морские котики
qiχʔin прил,морской
erwenetnom сущ,морской берег
wat'sχ сущ,морской конек
k'fsnom сущ,морщина
ənk'fsi- п1,морщить
k'fs- неп,морщиться
wewweŋ сущ,мотылек
ləmləm сущ,мох
xatpal сущ,мох
pek'ɬxum сущ,мох мелкий
moqre прил,мохнатый
tomlaχ прил,мохнатый
pet сущ,моховая подкладка
tχistχis сущ,моча
ksolx сущ,мочевой пузырь
əntxaɬ- п1,мочить
əntxaʔneŋe- п1,мочить
tχiz- неп,мочиться
tχezata- неп,мочиться пойти
ikəmčχ сущ,мошка
txuntxun сущ,мрак
nit'ɬə- неп,мстить
xamomʔalwaŋ сущ,мудрец
eʔŋuŋelan сущ,мудрец
eʔŋuŋ сущ,мудрость
qamzan сущ,муж
iχɬχʔin прил,мужской
qəlq сущ,мужской член
iχɬχ сущ,мужчина
kχeqateknen сущ,мужчина пожилой
čeqsxes сущ,мука
porʂaʔ сущ,мука рыбная
č'ozaq сущ,муравей
pekeʔɲč сущ,мускул моллюсков
salsχq сущ,мусор
saltni- неп,мусорить
saɬtŋe- неп,мусорить
nəŋč'ŋo- п1,мутить
əɲč'ŋulaχ прил,мутный
klamɬ сущ,муха
kumisx сущ,муха большая
wapq сущ,мухомор
qəpqəp сущ,мухомор
čirim сущ,мухомора настойка
pərwet'e- неп,мучаться
d'ekowa- п1,мучить
ənperwet'i- п1,мучить
ənčeqsxneŋ- п1,мучить
ənčeqsxeŋ- п1,мучить
čxčawaʔɬ- неп,мучиться
čeqsxe- неп,мучиться
anekst'aʔɬ- неп,мучиться от изжоги
kafk сущ,мушиный плевок
χisi- неп,мчаться
muzaʔn мест,мы
mɨlaʔ сущ,мыло
ksolx сущ,мыльный пузырь
keʎxen сущ,мыс
ʷk'enezes сущ,мысль
inləməɬ- неп,мыть
lim- п1,мыть
ləm- п1,мыть
ʷt'ɬa- п1,мыть
ʷt'ɬazo- п1,мыть долго
ləməʔɬ- неп,мыться
ʷt'ɬa- неп,мыться
ʷt'ɬazot- неп,мыться
ʷt'ɬazo- неп,мыться долго
bewe- неп,мычать
kaʔməɬxap сущ,мышеловка
ɬxapɬxap сущ,мышеловка
ŋakok сущ,мышиная постель
ŋakokačχ сущ,мышиная постелька
ktχamta сущ,мышиный амбар
atnoč сущ,мышиный амбарчик
kawirwiŋ сущ,мышиный амбарчик
