Русское слово,Ительменское слово,Часть речи
медвежий прил;,массуʔин; мэтʼскʼэʔин,прил
медвежий жир,качʼх,сущ
медвежий корень сущ;,ӽэӄум; чӄавом,сущ
медвежонок,мэтʼэчӽ,сущ
медвежья лапа,манзәӈ,сущ
медленно,тэлвэчӄ,нареч
медленный,тэлвэлаӽ,прил
медлительный,ӄумислаӽ,прил
медлительный человек,эԓэвйуӄ,сущ
медлить неп;,ӄизу-; тэлвэсэ-,неп
между,кӑннэнк,нареч
мездра,эԓф,сущ
мелеть неп;,кʼисхԓ-; кʼисхԓны-,неп
мелкая мошкара,чэмэйкэ,сущ
прилетающая самой первой,крэсэчӽ,сущ
мелкая пташка,уњњачӽ,сущ
мелкие паразиты,катхзэʔн,сущ
мелкие рачки-паразиты,фачӽ,сущ
мелкий прил;,апԓкʼалаӽ; кʼизвилаӽ,прил
мелкий (о водоеме),кʼәзәлаӽ,прил
мелкий картофель,чхройкʼачӽ,сущ
мелкий мох,пэкʼԓхум,сущ
мелкий полосатый голец,кэтʼил,сущ
мелочь,квэсӽӄаʔн,сущ
мелочью разжиться,чʼзэӈала-,неп
мель,кʼизвизвэч,сущ
мелькать,таԓӄэв-,неп
менструировать,тʼсалэпэс-,неп
меня кма с.;,кәмма,мест
менять,мэња-,п1
меняться неп;,лэтэт-; мэњаʔԓ-,неп
мера,мэраʔ,сущ
мережа,ӄилӄилвин,сущ
мерзавец,ԓапхачʼэраӈ,сущ
мёрзнуть,ӄитыт-,неп
меркнуть,эмэлвэзакʼԓ-,неп
мертвец,кʼэззаттʼклач,сущ
мёртвый,кʼисхкнэн,прил
мерцать,аʔнфсат-,неп
месить муку,тӽэл-,п1
мести,фйалтэ-,неп
местный,танʔин,прил
место инхт сущ; сущ;,мэстаʔ; онмэстном,сущ
место в тундре,толкʼаʔԓном,сущ
место высокое,асʔас,сущ
место куда надевают пояс,сэтзаном,сущ
место летних работ,лаʔмстном,сущ
место на тундре,филкʼфилкʼ,сущ
место под лежанкой,оʔрэста,сущ
место работы,вэтатном,сущ
место рождения,әнсӽтном,сущ
место с хорошим обзором,твэстэвном,сущ
место у двери,нутԓун,сущ
место удара,әњчӄанәм,сущ
"место, где живут",соњԓном,сущ
берегу,онмэстном,сущ
"место, где собираются",ӄуњэӈэстном,сущ
"место, земля за водой",саләӈк,сущ
месть,нэтʼԓэс,сущ
месяц сущ;,кулэч; мэсиц,сущ
метка,кәлванŏм,сущ
метки,кәлва-,п1
метла,малэнәӈ,сущ
мех кузнечный,иислуʔԓнэӈ,сущ
мех молодого оленя,ӄэйуԓх,сущ
к женскому капору,пакʼаԓачӽ,сущ
меч,әмпӽэԓӽ,сущ
мечтать,˚кʼэнэзи-,неп
мешалка,сэткʼ,сущ
инмисин- неп; п1;,әнтэвлы-; әнчʼэлазо-,п1
мешкать долго,тэву-,неп
мешок сущ; сущ;,маскʼэл; мэсок,
мигать,әԓчкова-,неп
мизинец,саԓкиԓкʼачӽ,сущ
микижа,мәлʔарак,сущ
милосердие,мэлмэл,сущ
милосердный,кмэлмэлʔан,прил
милость сущ;,мэлмэл; әлфталатном,сущ
милый,хихлыӈлаӽ,прил
мимо проходить,пэскŏс-,неп
мимоходом,вәппэскʼәскʼи,нареч
минога,ӄанас,сущ
мир сущ; сущ;,атхʔатх; мслэлӈән; ткарвэл,
мираж,атәрватэ-,неп
мирный,ткарвэлʔан,прил
миро,мироʔ,сущ
миска сущ;,ӄамаӈа; мискэʔ,сущ
миска для жира,ӽамԓӽйоԓхэн,сущ
мисочка,камэчӽ,сущ
мифическое существо,нонкʼавач,сущ
младенец,миљачӽ,сущ
младший,салʔан,прил
много нареч; нареч; с.; нареч; птос нареч; нареч; нареч; нареч;,"ивныԓ; мэйим,; мэйэӈ; нывныԓ; ныныԓ; әмкэм; әмптова; эсӄчаӄ; эсчаӄ","нареч, нареч"
многое,ныныԓʔан,прил
множество,амэлвэлвэн,сущ
могила,˚ӄэʔмсатуном,сущ
могучий,ӄʼэвлаӽ,прил
может быть нареч; лус межд;,ӄэʔну,
мозг,аʔйувʔай,сущ
мозоль (водяная),иʔэпэл,сущ
мой,кәмман,мест
мойва уйки с.;,уйкэʔн,сущ
мокнуть тха- неп; неп; неп;,тхаʔнэ-; чкʼэчкʼэтэ-; чкʼэʔԓ-,неп
мокрый,чӄлаӽ,прил
мокрым становиться,чкʼэʔԓ-,неп
молитва,таӄас,сущ
молиться неп; неп;,˚таӄа-; таӄаʔԓ-; ˚таӄаʔԓ-,неп
молния,эчʼэм,сущ
молодой человек,ӽоља,сущ
молоки рыбьи,лӄилӄэʔн,сущ
молоко сущ;,лукʼәл; луӄән,сущ
молчаливый прил;,исэӈлаӽ; кʼиԓчʼин,прил
молчать,иԓч-,неп
морда сущ; сущ;,уʔилвиӈ; фэваӈ; чʼручʼ,сущ
море,ӄиӽ,сущ
моросить неп; неп;,бусиʔԓ-; чкʼэʔԓ-; чфкраʔԓ-,неп
Морошечное,Анʔава,собств
морошка с.;,знәʔн; снэʔн,"сущ, сущ"
морошка и рыба,филкʼинтора,сущ
морская гагара,увиӄ,сущ
морская зыбь,валаʔн,сущ
морская коса,эрвэн,сущ
морская ракушка сущ;,ӄайʔачӽ; ӄэрвитынәӈ,сущ
морская утка,аʔӈэчӽ,сущ
морская чайка,фийаӄйаӄ,сущ
морские котики,татљач,сущ
морской,ӄиӽʔин,прил
морской берег,эрвэнэтном,сущ
морской конек,ватʼсӽ,сущ
морщина,кʼфсном,сущ
морщить,әнкʼфси-,п1
морщиться,кʼфс-,неп
мотылек,вэввэӈ,сущ
мох сущ; хатпал,ләмләм,
мох мелкий,пэкʼԓхум,сущ
мохнатый прил;,моӄрэ; томлаӽ,прил
моча,тӽистӽис,сущ
мочить п1;,әнтхаԓ-; әнтхаʔнэӈэ-,п1
мочиться,тӽиз-,неп
мочиться пойти,тӽэзата-,неп
мошка,икәмчӽ,сущ
мстить,нытʼԓә-,неп
мудрец сущ;,хамомʔалваӈ; эʔӈуӈэлан,сущ
мудрость,эʔӈуӈ,сущ
муж,ӄамзан,сущ
мужской,иӽԓӽʔин,прил
мужской член,ӄәлӄ,сущ
мужчина,иӽԓӽ,сущ
мужчина пожилой,кӽэӄатэкнэн,сущ
мука,чэӄсхэс,сущ
мука рыбная,поршаʔ,сущ
муравей,чʼозаӄ,сущ
муравейник,чʼозаӄал,
мускул моллюсков,пэкэʔњч,сущ
мусор,салсӽӄ,сущ
мусорить салтны- неп;,саԓтӈэ-,неп
мутить,нәӈчʼӈо-,п1
мутный,әњчʼӈулаӽ,прил
муха,кламԓ,сущ
мухомор сущ;,вапӄ; ӄәпӄәп,сущ
мучаться,пәрвэтʼэ-,неп
мучить дьэкова- п1; п1;,әнпэрвэтʼи-; әнчэӄсхнэӈ-,
п1;,әнчэӄсхэӈ-,п1
мучиться неп;,чхчаваʔԓ-; чэӄсхэ-,неп
мучиться от изжоги,анэкстʼаʔԓ-,неп
мчаться,ӽиси-,неп
мы,музаʔн,мест
мыло,мылаʔ,сущ
мыс,кэљхэн,сущ
мысль,˚кʼэнэзэс,сущ
мыть неп; лым- п1; п1;,инләмәԓ-; ләм-; ˚тʼԓа-,п1
мыть долго,˚тʼԓазо-,п1
мыться неп; неп;,ләмәʔԓ-; ˚тʼԓа-; ˚тʼԓазот-,неп
мыться долго,˚тʼԓазо-,неп
мычать,бэвэ-,неп
мышеловка сущ;,каʔмәԓхап; ԓхапԓхап,сущ
мышиная постель,ӈакок,сущ
мышиная постелька,ӈакокачӽ,сущ
мышиный амбар,ктӽамта,сущ
мышиный амбарчик атноч сущ;,кавирвиӈ,сущ
мышонок,чʼитэкʼэчӽ,сущ
мышь сущ; сущ;,лэԓкʼоч; љэԓкʼай; љэԓкʼоч,сущ
мышь короткохвостая,икәмчхэн,сущ
мягкий прил;,филкʼлаӽ; әлтлаӽ,
прил; с.;,әљтлаӽ; әтлаӽ,"прил, прил"
детей),фиԓкʼэчӽ,сущ
мягче делаться,әлтсэ-,неп
мякоть стебля кипрея,хуԓкʼум,сущ
мясо,тӽалтӽал,сущ
ноги оленя,иԓӽпэтэ,сущ
мясо рыбы,тӽисум,сущ
мятежник,инмисинкиԓӽ,
мяч,пэкʼуч,сущ
мяч играть,ӄаплу-,неп
на,тлэ,межд
на двор,әззанкэ,нареч
на дворе,әззанк,нареч
на корточки,изуӄа-,неп
на куски разрывать,схчʼзит-,п1
на лыжах ходить,тэвэ-,неп
на противоположной стороне,ӄолакамәӈк,нареч
на самом деле,иӄах,нареч
на спине,пәлкʼаӈ,нареч
на стол ставить,әњчэв-,п1
на том берегу,салаӈк,нареч
на третий день,хэӄоланк,нареч
на этой стороне,тэʔнхкмәӈк,нареч
на этот раз,нэʔн,нареч
набивать,тӽну-,п1
набивать битком,тнхэн-,п1
набирать воду,тӈәлэт-,п1
набирать воды в рот,иʔнум-,неп
наблюдать,твэстэв-,неп
"наблюдать, как едят",аʔнтхԓ-,неп
набухать неп; неп;,пнэ-; пәлсэ-,
сло- неп;,фнэ-,неп
набухать сильно,слоʔнэ-,неп
навага,вахнэʔ,сущ
наверное нареч; нареч;,ӄэй; ӄэʔну; мэхну,нареч
наверх ванчк с.;,ханкэ,нареч
наверх поднимать,тэфс-,п1
навес в юрте,оймаролваӈ,сущ
навзничь,пәлкʼаӈ,нареч
навсегда,кәњчпаԓ,нареч
навьючивать на себя груз,имԓты-,неп
нагибаться,насхэнԓ-,неп
наговорить,ԓнэмӈэл-,п1
награда,заслугаʔ,сущ
нагреваться,чән-,неп
нагрудник кухлянки,эʔнвэԓ,сущ
нагружать п1;,ныӈ-; ныӈит-,п1
нагружать на себя неп;,имԓ-; имԓ-,"п1, п1"
нагружаться,имԓты-,неп
надгрудник кухлянки,пэхэхэч,сущ
надевать п1;,ԓинтхԓ-; тхԓ-,п1
надежда малвон сущ;,мэлвон,сущ
надёжный,мәлвэлаӽ,прил
надеть что-либо,тхԓата-,п1
надеяться,мәлвэʔԓ-,неп
надменный,ӽэӄэ; кʼнытаʔин,
надо сделать так,ӄәмхаԓ,межд
надоедать п1; неп; неп; лэ- неп; неп; п1;,ӄэʔлу-; нэмчʼкʼэлэʔԓ-; ӽэӄэлэ-; әмчʼкʼэлӄ; әмчʼкʼэлы-; әмчʼкʼэлы-; әнӄумиси-,п1
надоедливый,әмчʼкʼэллаӽ,прил
надоело,кԓәмчʼкʼэлы,нареч
надрезать,әмпӽалатә-,п1
надрубать,әмпӽалатә-,п1
надставить,пкԓ-,п1
надуваться сильно,слоʔнэ-,неп
наедаться неп;,чʼиԓи-; чʼэԓэт-,неп
наедаться досыта,ӈэйу-,неп
назад,салкэ,нареч
назад в обратном направлении,илвизиԓ,нареч
название,ӽэлаӈ,сущ
название игры сущ;,ӄэлзаʔн; ӄэмэʔњч,сущ
название игры «погнать мяч»,ӄаплуʔн,сущ
назначать назначит,иԓ-,п1
назойливый,әмчʼкʼэллаӽ,прил
назойливым,нэмчʼкʼэлэʔԓ-,неп
называть п1;,әллат-; әллатсхэн-,п1
называть по имени,ӽэлаʔԓ-,п1
наизнанку,тлэт-,п1
