russian,itelmen,part of speech
каменный пест,spэ сущ; tqniŋ сущ с.,multiple translations
каменный скребок для шкур,insxul amэɬatat-,сущ
камень,ʷwapk'ol сущ; wač сущ;,multiple translations
исщипать,k'ozэsxэnэt- kof,п1
камень краеугольный,pəlwač,сущ
камень крупный,oʔolt,сущ
камень плоский,zэnzol,сущ
снега),luɬnəŋ,сущ
камус,kasэŋʔan сущ; pənzəŋ сущ,multiple translations
каяться,tэŋsэ-,неп
квасить,əntɬa-,п1
квашенная рыба,filwiltэ-,неп
кедрач,stowal,сущ
кедровая шишка,kunkun,сущ
кедровка,kakač,сущ
кедрового ореха,яdro сущ; fifsuʔn сущ kaɬimtoŋ сущ,multiple translations
кедровые шишки собирать,wačэʔn,сущ
каникулы,kaɲikulaʔn,сущ
капать,эst- неп; эstala- неп,multiple translations
капелька,ŋэstk'эɬčχ,сущ
капкан,kapkan,сущ
капканы ставить,ančxlэt-,п1
капля,ŋэstk'эɬčχ,сущ
капризничать,inč'эlэ-,неп
капуста,kapusta,сущ
капюшон,kzixč,сущ
капюшон кухлянки,kukoniŋ,сущ
карандаш,karandaш,сущ
караулить,anfčoʔɬ- неп; inju- п1; injusxэn- п1; inэnju- неп,multiple translations
картофель,kartofэʎaʔn сущ; čxrojk'ačχ сущ,multiple translations
касаться,sŋэza-,п1
кастрюля,kukэč,сущ
катать,ɬintxlэtzo- п1; ənkmэsэ- п1,multiple translations
кататься по льду,ŋoɬkat-,неп
кататься с горы,tχlitzu-,неп
катить,ənkmэsэ-,п1
катиться,kmэsi- неп; sali- неп,multiple translations
каткий,iɬχlaχ,прил
каток,ŋoɬkэŋ,сущ
качать,ənqэlэw- п1; ənqэlэwэt- п1,multiple translations
качаться,qэlэ-,неп
кашель,asat,сущ
кашлять,askɬ-,неп
каюр,ʷkэjux kunэŋt-,сущ
кедровый орех,kuɲɬэl,сущ
кедровый орешек,kuɲɬэl,сущ
кедровый стланик,ʷstopk'ul сущ; stotəm сущ,multiple translations
кета,qэk'f,сущ
кивать,ʷpnэŋat- неп; č'sxən- неп; č'sxənэt- неп,multiple translations
кидать,tkit-,п1
кижуч,kəzwəs сущ; skan сущ с.,multiple translations
килыкил,kilikil сущ; ɬilum сущ,multiple translations
килыкил смесь,liʔlum,сущ
кимчига,lqlam сущ; nэxirk'at- неп; rəmŋэn сущ; toɬ- неп; əlqlam сущ,multiple translations
кимчигу искать,tolk'aʔ-,неп
кипеть,qэjwэ-,неп
кипеть долго или интенсивно,qэjwэzo-,неп
кипрей,ninəm,сущ
кипрей собирать,niŋt-,неп
кипрей собирать в посуду,alxpaʔɬ-,неп
кипрейное лыко,kumɬxil,сущ
кипрея заросли,ninal,сущ
кипрея стебель приготовленный,alxp,сущ
кипятить,ənqэjwэ-,п1
кислая рыба,filwil,сущ
кислая рыбья головка,kɬčlэč,сущ
кислое мясо,filwil,сущ
кислый,kɬčlaχ,прил
кислым отдавать,kʎčlatэ-,неп
киснуть,t'ɬa-,неп
кит,juŋjučχ сущ; juŋəju сущ,multiple translations
кишка,ziwəs сущ с.; siwəs сущ; sjajolŋən сущ,multiple translations
кишки,k'azwizwač,сущ
кланяться,ʷpnэŋa- неп; t'ɬ- неп,multiple translations
клапан-нагрудник кухлянки,эʔnwэɬ,сущ
класс,klass,сущ
класть,zuwэ- неп; zuwэ- п1; əzzu- п1; əzzut- п1; əzu- п1 с.; əzus- п1 с.,multiple translations
класть для себя,əzzu-,неп
класть за пазуху,paŋza- п2; paŋzat- п2,multiple translations
клевать,toktonaʔɬ- неп; toktoŋo- п1,multiple translations
клевать(ся),toktoŋoʔɬ-,неп
клеить,nэtməɲɬ-,п1
клеймить,kəlwa- п1; əɬtq- п1,multiple translations
княженика,ijanočχ,сущ
ковать,tala-,п1
Ковран,Кawral,собств
ковчег,kowčэg,сущ
ковш,anӑs,сущ
ковыряться,txэla-,неп
когда,it'э,союз
когда-то,it'э,союз
кого,k'э,мест
коготок,k'эk'wэčχ,сущ
коготь,k'ufk'uf сущ; k'эk'f сущ,multiple translations
кое-как,amsanэq нареч; falasxa нареч,multiple translations
кожа (человека),kilwiɬχ,сущ
кожа рыбья,xinsx сущ; ənsx сущ с.,multiple translations
кожаные штаны,čopak'э,сущ
корзины,inmэŋ,сущ
кожное заболевание,əmk'əsx,сущ
козырек женского капора,kond'эr,сущ
козявки в носу,ŋapsk'эʔl,сущ
кол,nэwlaz сущ; upuw сущ с.;,multiple translations
дистрибутивно,kəlwat- upэw,п1
клеймить собаку,эʎtqa-,п1
клин женского капора,t'iɬit'iɬ,сущ
меховых чулок,č'um,сущ
кличка,χэlaŋ,сущ
клочья рвать,č'эssxэn-,неп
клуб,kluб,сущ
клубком свернуться,kowos-,неп
клюв,non,сущ
клюква,kʎukwa сущ; č'ik'məŋ сущ,multiple translations
ключ,niqэʔnəŋ,сущ
ключик,Кʎučik,собств
потягу,mumkэl,сущ
книга,kɲiga,сущ
кол (передний) запора,k'nəč,сущ
колбаса кровяная,wэtčinэʔ,сущ
колено,zizэŋ сущ с.; sэzэŋ сущ,multiple translations
колесо,k'эlanŏm,сущ
колокольчик коровий,d'iŋʎiŋʎačχ,сущ
колокольчиками звенеть,d'iŋɬiŋɬ-,неп
колотить,kowa-,п1
кольев,qэsq,сущ
колоть,til- п1; tilsxэn- п1; ənt'sxin- п1,multiple translations
колотье,ankalwas,сущ
колоться,intxəlэʔɬ-,неп
колыбальная песня,qэrwэʎu,сущ
колыбель,zipkэʔ,сущ
колыхаться,atərwatэ- неп; χэlэ- неп,multiple translations
рыболовного запора,toŋoɬ,сущ
кольцо,ʷkmэsэm,сущ
корюшки,raqlawəm,сущ
колючий,k'intxilʔin,прил
колючими плавниками,sistxil,сущ
колючка,intxil,сущ
комар,qэɬč'um,сущ
комбинезон,kalŋakэrčaχ сущ с.;,multiple translations
копить,iwu-,п1
копкой долго заниматься,satut-,неп
копотью покрыться,ipэrwэ-,неп
копошиться,txэla-,неп
коптить,ʷt'i- п1; ʷənt'i- п1,multiple translations
копылье нарты,msoŋ,сущ
копыта,jajpэʔn,сущ
копье,qajtkэl сущ; pojtəl сущ,multiple translations
кора,ilal,сущ
кора березы съедобная,k'uxk',сущ
кора ольховая,ilal,сущ
корень,pŋilpŋil сущ; sэɲɬ сущ; ŋawkэračχ сущ əsk сущ,multiple translations
комбинезон женский,xonpэŋ,сущ
комель бревна,tnakol,сущ
комната,χaqa,сущ
конец,piɲɬfnom,сущ
конечно,liɬi нареч; ээ межд,multiple translations
конопатить,utika- неп; utika- п1,multiple translations
конский щавель,nirwin сущ;,multiple translations
корень водяного растения,iэrэd,сущ
корень медвежий,χэqum сущ; čqawom сущ,multiple translations
корень медовый,skwom,сущ
корень съедобный,χuʔŋunuŋ,сущ
корзина,inэmsэʔnəŋ сущ; pэkkэčx сущ mumx сущ,multiple translations
контрольный,kontrol'noj,прил
конура,attara,сущ
кончать,piɲɬf-,п1
кончать(ся),piɲɬf- неп; piŋɬfat- неп,multiple translations
кончаться,ɬf- неп; ɬfэʔnэ- неп; piɲɬfaʔɬ- неп; piŋɬfэt- неп,multiple translations
конь,koɲa,сущ
копалка для сараны,qŏsqŏs,сущ
копать,rэŋo- п1; rэŋoʔɬ- неп; satu- неп; satu- п1; satut- неп; satut- п1,multiple translations
копать руками,rэŋo- п1; rэŋoʔɬ- неп,multiple translations
копать сарану,iɲč'-,неп
копаться долго,tэwu-,неп
копаться долго за едой,ŋipsxэn-,неп
копейка,kopэjkaʔ,сущ
корзина берестяная,ač'al,сущ
корзина плетеная травяная,č'ipsqэl,сущ
корзинка,č'ipsqэl,сущ
корзины ободок,inmэŋ,сущ
корка обожженная,k'wasχq,сущ
корм,nonom,сущ
кормить,ɬinnu-,п1
кормить ребенка жвачкой,ilʔэl-,п1
кормушка нукнэн,ʷqэpx,сущ
корнеплод,qlitx сущ; omэq сущ,multiple translations
коробка,koɬton сущ; χamɬχjoɬxэn сущ,multiple translations
корова,korowaʔ,сущ
коровий колокольчик,d'iŋʎiŋʎačχ,сущ
короткая щека запора,ikəmt'эzэŋ,сущ
короткие торбаза,ikumpʎikэʔn,сущ
короткий,ikəmʎaχ,прил
коротко,ikəmq,нареч
короткохвостая мышь,ikəmčxэn,сущ
короче становиться,ikəmsэ-,неп
кору снимать,k'ulu- п1; ulu- п1; uluʔɬ- неп,multiple translations
корчевать,satut-,неп
корчиться,aŋqan it-,неп
коршун,pxakč,сущ
корыто,kuritэʔ сущ; ʷqэpx сущ,multiple translations
корыто для жира,χəmɬχjoɬxən,сущ
корыто каменное,oʔult,сущ
корыто с выступами,sэɬɲiц,сущ
корюшка,qawač,сущ
корюшка малая,ənŋaqэčχ,сущ
коряк,korak сущ; tafʎo сущ,multiple translations
коряк оседлый,Кɬxitilan,сущ
коса (волосы),kosam сущ; tk'lom сущ; t'k'lom сущ,multiple translations
коса (мыс),kэʎxэn,сущ
орудие),kosaʔ,сущ
коса речная,tosx,сущ
косить,kosэʔɬ-,неп
косить траву,kosэʔɬ-,неп
космонавт,kosmonawt,сущ
космос,kosmos,сущ
кострище,ujiritnom,сущ
кость,ʷktχӑm сущ; kčk'oŋ сущ; qtχam сущ; tχam сущ,multiple translations
кость дробленая,χamtala,сущ
костяшками бить,xuxula-,п1
косяк дверной рамы,kolodaʔ,сущ
котёл,kukэč,сущ
котлета,tэɬnaʔ,сущ
котлета из рыбы,tэɬnoj,сущ
который,min,мест
коты морские,tatʎač,сущ
кочевать,jalat- неп; jalwэt- неп; jalwэtat- неп,multiple translations
кочевки место,jalwatnom,сущ
кочевье,jalwэtatnom,сущ
кочерга,kʎuka,сущ
кочка,simq' сущ; ʷsəmk' сущ,multiple translations
кошелка,č'ipsqэl,сущ
кошка,koшka,сущ
краб,qэwinəŋ,сущ
краеугольный камень,pəlwač,сущ
край воды,iʔɲɬəm,сущ
крапива,qazwum,сущ
крапивы заросли,qazwal,сущ
красиво,č'inaq нареч с.; č'inəŋ- А; č'inəŋq нареч,multiple translations
красивый,xixliŋlaχ прил; činiŋlaχ прил; č'inəŋlaχ прил,multiple translations
красить,anzazo- п1; krasэ- п1,multiple translations
красить что-либо ольхой,kskizla-,п1
краска,anzas сущ; anzaʔnoŋ сущ; tqinsrэŋ сущ kraskaʔ сущ,multiple translations
костер,ujirit сущ; ximɬx сущ,multiple translations
костный мозг,qomloqom,сущ
костный мозг есть,qomla-,неп
косточка в ягодице,kčk'oŋ,сущ
красная рыба,ksus,сущ
красная смородина,mrorotэm,сущ
краснеть,č'ač'a-,неп
красноватая сыпь,эsx,сущ
красное,əɲč'ač'ala-,п1
красный,krasnoj прил; č'ač'a- А; сущ č'ač'alaχ прил,multiple translations
красота,činəŋčinəŋ сущ; č'inəŋč'inəŋ сущ,multiple translations
красотой любоваться,činəŋʔэ-,неп
красть,č'iri- неп; č'iri- п1,multiple translations
крашеный,ktwэlaχ,прил
крениться,sqэns-,неп
крепкий,ičxlaχ прил; ktlaχ прил,multiple translations
крепко,ktaq,нареч
крепко спать,ʷŋiksini-,неп
крепко стоять,tχzoʔŋэ-,неп
крестить,krэstэ-,п1
креститься,krэstэʔɬ-,неп
крестный,krэstnoj,сущ
кривить,sqэnsxэn- п1; tqэns- п1; əntqэnsxэn- п1,multiple translations
кривиться,sqэns- неп; tqэns- неп,multiple translations
крик,kэlkэl,сущ
кричать,kэl- неп; tajŋa- неп; čxča- неп; эŋalэlэt- неп,multiple translations
